pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
tRNA Aminoacylation,Wikipathways,0,,0 (0),1,1,7,C00148;C00020;C00025;C00097;C00041;C00047;C00135,65 (65),5.67E-07,6.53E-05,5.67E-07,6.53E-05
Glutathione synthesis and recycling,Reactome,0,,14 (17),1,1,6,C00148;C00025;C00097;C00041;C00047;C00135,30 (31),8.83E-08,1.37E-05,1.52E-06,7.16E-05
Urea cycle and metabolism of amino groups,Wikipathways,0,,20 (20),1,1,6,C00077;C00148;C00791;C00025;C00315;C00327,30 (30),8.83E-08,1.37E-05,1.52E-06,7.16E-05
Na+/Cl- dependent neurotransmitter transporters,Reactome,0,,19 (19),1,1,6,C00148;C00245;C00097;C00041;C00047;C00135,31 (31),1.09E-07,1.56E-05,1.85E-06,8.35E-05
Phase II conjugation,Wikipathways,0,,0 (0),1,1,8,C00148;C00020;C00025;C00097;C00180;C00041;C00047;C00135,102 (115),9.38E-07,9.57E-05,9.38E-07,9.57E-05
Nucleotide Metabolism,Wikipathways,0,,19 (19),1,1,5,C00077;C00385;C00130;C00366;C00315,17 (18),1.44E-07,1.90E-05,2.41E-06,0.000104
Amine compound SLC transporters,Reactome,0,,30 (31),1,1,6,C00148;C00245;C00097;C00041;C00047;C00135,35 (35),2.35E-07,2.89E-05,3.82E-06,0.000152
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation,HumanCyc,0,,4 (4),1,1,6,C00148;C00025;C00097;C00041;C00047;C00135,35 (35),2.35E-07,2.89E-05,3.82E-06,0.000152
Glutathione conjugation,Reactome,0,,35 (38),1,1,6,C00148;C00025;C00097;C00041;C00047;C00135,38 (41),3.92E-07,4.67E-05,6.18E-06,0.000237
Immune System,Reactome,4,SEC24C;EVL;XRCC6;SEC13,994 (1069),0.106,1,7,C00148;C00020;C00025;C00097;C00041;C00047;C00135,87 (103),4.20E-06,0.000273,6.98E-06,0.000258
Glycine_ serine_ alanine and threonine metabolism,EHMN,1,GLOD4,80 (80),0.139,1,7,C00077;C00020;C00197;C00025;C00097;C00041;C00047,88 (88),4.54E-06,0.000289,9.61E-06,0.000311
Cytosolic tRNA aminoacylation,Reactome,0,,26 (29),1,1,7,C00148;C00020;C00025;C00097;C00041;C00047;C00135,66 (66),6.30E-07,6.62E-05,9.63E-06,0.000311
Mitochondrial tRNA aminoacylation,Reactome,0,,23 (23),1,1,7,C00148;C00020;C00025;C00097;C00041;C00047;C00135,66 (66),6.30E-07,6.62E-05,9.63E-06,0.000311
tRNA Aminoacylation,Reactome,0,,45 (48),1,1,7,C00148;C00020;C00025;C00097;C00041;C00047;C00135,66 (66),6.30E-07,6.62E-05,9.63E-06,0.000311
Metabolism of nucleotides,Wikipathways,0,,0 (0),1,1,7,C00106;C00366;C00385;C00025;C00020;C00130;C00041,97 (111),8.73E-06,0.000528,8.73E-06,0.000528
Chloramphenicol Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Roxithromycin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Josamycin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Methacycline Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Rolitetracycline Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Streptomycin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Spectinomycin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Kanamycin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Gentamicin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Netilmicin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Neomycin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Tobramycin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Paromomycin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Minocycline Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Tetracycline Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Lincomycin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Clindamycin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Azithromycin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Arbekacin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Tigecycline Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Erythromycin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Amikacin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Clomocycline Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Doxycycline Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Demeclocycline Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Oxytetracycline Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Lymecycline Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Telithromycin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Clarithromycin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Troleandomycin Action Pathway,SMPDB,0,,0 (0),1,1,4,C00020;C00148;C00041;C00135,20 (20),1.55E-05,0.000609,1.55E-05,0.000609
Protein digestion and absorption - Homo sapiens (human),KEGG,0,,87 (89),1,1,6,C00148;C00025;C00097;C00041;C00047;C00135,47 (47),1.45E-06,0.000144,2.09E-05,0.000657
Argininemia,SMPDB,0,,13 (13),1,1,5,C00077;C00327;C00041;C00020;C00025,27 (27),1.77E-06,0.000151,2.52E-05,0.000669
Citrullinemia Type I,SMPDB,0,,13 (13),1,1,5,C00077;C00327;C00041;C00020;C00025,27 (27),1.77E-06,0.000151,2.52E-05,0.000669
Carbamoyl Phosphate Synthetase Deficiency,SMPDB,0,,13 (13),1,1,5,C00077;C00327;C00041;C00020;C00025,27 (27),1.77E-06,0.000151,2.52E-05,0.000669
Argininosuccinic Aciduria,SMPDB,0,,13 (13),1,1,5,C00077;C00327;C00041;C00020;C00025,27 (27),1.77E-06,0.000151,2.52E-05,0.000669
Urea Cycle,SMPDB,0,,13 (13),1,1,5,C00077;C00327;C00041;C00020;C00025,27 (27),1.77E-06,0.000151,2.52E-05,0.000669
Ornithine Transcarbamylase Deficiency (OTC Deficiency),SMPDB,0,,13 (13),1,1,5,C00077;C00327;C00041;C00020;C00025,27 (27),1.77E-06,0.000151,2.52E-05,0.000669
Aminoacyl-tRNA biosynthesis - Homo sapiens (human),KEGG,0,,66 (66),1,1,6,C00148;C00025;C00097;C00041;C00047;C00135,52 (52),2.67E-06,0.000222,3.70E-05,0.000956
Gene Expression,Reactome,3,EEF1D;HNRNPF;RPL9,1182 (1251),0.379,1,7,C00148;C00020;C00025;C00097;C00041;C00047;C00135,97 (104),8.73E-06,0.000528,4.50E-05,0.000991
Phase II conjugation,Reactome,0,,94 (102),1,1,8,C00148;C00020;C00025;C00097;C00180;C00041;C00047;C00135,122 (145),3.69E-06,0.000244,4.98E-05,0.000991
Defective AHCY causes Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency (HMAHCHD),Reactome,0,,94 (102),1,1,8,C00148;C00020;C00025;C00097;C00180;C00041;C00047;C00135,122 (145),3.69E-06,0.000244,4.98E-05,0.000991
Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD),Reactome,0,,94 (102),1,1,8,C00148;C00020;C00025;C00097;C00180;C00041;C00047;C00135,122 (145),3.69E-06,0.000244,4.98E-05,0.000991
Defective UGT1A1 causes hyperbilirubinemia,Reactome,0,,94 (102),1,1,8,C00148;C00020;C00025;C00097;C00180;C00041;C00047;C00135,122 (145),3.69E-06,0.000244,4.98E-05,0.000991
Defective GSS causes Glutathione synthetase deficiency (GSS deficiency),Reactome,0,,94 (102),1,1,8,C00148;C00020;C00025;C00097;C00180;C00041;C00047;C00135,122 (145),3.69E-06,0.000244,4.98E-05,0.000991
Defective GGT1 causes Glutathionuria (GLUTH),Reactome,0,,94 (102),1,1,8,C00148;C00020;C00025;C00097;C00180;C00041;C00047;C00135,122 (145),3.69E-06,0.000244,4.98E-05,0.000991
Defective UGT1A4 causes hyperbilirubinemia,Reactome,0,,94 (102),1,1,8,C00148;C00020;C00025;C00097;C00180;C00041;C00047;C00135,122 (145),3.69E-06,0.000244,4.98E-05,0.000991
Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD),Reactome,0,,94 (102),1,1,8,C00148;C00020;C00025;C00097;C00180;C00041;C00047;C00135,122 (145),3.69E-06,0.000244,4.98E-05,0.000991
Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD),Reactome,0,,94 (102),1,1,8,C00148;C00020;C00025;C00097;C00180;C00041;C00047;C00135,122 (145),3.69E-06,0.000244,4.98E-05,0.000991
Defective TPMT causes Thiopurine S-methyltransferase deficiency (TPMT deficiency),Reactome,0,,94 (102),1,1,8,C00148;C00020;C00025;C00097;C00180;C00041;C00047;C00135,122 (145),3.69E-06,0.000244,4.98E-05,0.000991
Defective OPLAH causes 5-oxoprolinase deficiency (OPLAHD),Reactome,0,,94 (102),1,1,8,C00148;C00020;C00025;C00097;C00180;C00041;C00047;C00135,122 (145),3.69E-06,0.000244,4.98E-05,0.000991
FoxO signaling pathway - Homo sapiens (human),KEGG,0,,127 (134),1,1,3,C00020;C00031;C00025,5 (5),4.73E-06,0.000296,6.27E-05,0.00122
Glycolysis / Gluconeogenesis - Homo sapiens (human),KEGG,3,ADH5;PGK2;ACSS2,66 (67),0.000232,0.303,2,C00031;C00197,31 (31),0.0253,0.229,7.68E-05,0.00147
Metabolism of proteins,Reactome,5,EEF1D;EIF5A2;SEC24C;SEC13;RPL9,662 (693),0.00618,1,6,C00020;C00025;C00170;C01571;C06423;C00315,148 (163),0.000998,0.0166,8.01E-05,0.00151
Arginine and proline metabolism - Homo sapiens (human),KEGG,1,GLS,60 (61),0.106,1,6,C00077;C00148;C00791;C00025;C00315;C00327,91 (91),7.00E-05,0.00227,9.49E-05,0.00175
Disease,Reactome,4,SEC24C;XRCC6;SEC13;ACSS2,1747 (1852),0.412,1,14,C00077;C00158;C00148;C00020;C00197;C01835;C00025;C00097;C00180;C00315;C00327;C00041;C00047;C00135,533 (699),2.61E-05,0.00099,0.000133,0.00242
Biological oxidations,Reactome,1,ACSS2,174 (189),0.278,1,9,C00148;C00020;C00025;C00097;C00180;C00315;C00041;C00047;C00135,220 (278),3.96E-05,0.00147,0.000137,0.00244
One carbon donor,Wikipathways,0,,1 (1),1,1,4,C00077;C00245;C00097;C00315,19 (23),1.25E-05,0.000609,0.000153,0.00265
purine nucleotides degradation,HumanCyc,0,,12 (12),1,1,4,C00385;C00020;C00130;C00366,19 (19),1.25E-05,0.000609,0.000153,0.00265
Amino acid conjugation of benzoic acid,Wikipathways,1,ACSS2,4 (4),0.00741,1,2,C00020;C00180,9 (9),0.00219,0.0312,0.000195,0.00331
Urea cycle,Reactome,0,,9 (10),1,1,4,C00077;C00327;C00020;C00025,21 (21),1.91E-05,0.00074,0.000226,0.00378
Taurine and hypotaurine metabolism - Homo sapiens (human),KEGG,0,,10 (10),1,1,4,C00041;C00245;C00097;C00025,22 (22),2.32E-05,0.000889,0.00027,0.00444
Metabolism of carbohydrates,Wikipathways,0,,0 (0),1,1,5,C00158;C00020;C00197;C01835;C00025,66 (69),0.000157,0.00459,0.000157,0.00459
Metabolism of nucleotides,Reactome,0,,81 (83),1,1,7,C00106;C00366;C00385;C00025;C00020;C00130;C00041,122 (135),3.95E-05,0.00147,0.00044,0.00712
Gamma carboxylation_ hypusine formation and arylsulfatase activation,Reactome,1,EIF5A2,35 (35),0.0631,1,3,C00020;C00170;C00315,23 (23),0.000758,0.0135,0.000524,0.00725
Hyperornithinemia with gyrate atrophy (HOGA),SMPDB,0,,20 (20),1,1,5,C00327;C00077;C00148;C00020;C00025,52 (52),4.94E-05,0.00163,0.000539,0.00725
Creatine deficiency_ guanidinoacetate methyltransferase deficiency,SMPDB,0,,20 (20),1,1,5,C00327;C00077;C00148;C00020;C00025,52 (52),4.94E-05,0.00163,0.000539,0.00725
L-arginine:glycine amidinotransferase deficiency,SMPDB,0,,20 (20),1,1,5,C00327;C00077;C00148;C00020;C00025,52 (52),4.94E-05,0.00163,0.000539,0.00725
Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome],SMPDB,0,,20 (20),1,1,5,C00327;C00077;C00148;C00020;C00025,52 (52),4.94E-05,0.00163,0.000539,0.00725
Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),SMPDB,0,,20 (20),1,1,5,C00327;C00077;C00148;C00020;C00025,52 (52),4.94E-05,0.00163,0.000539,0.00725
Prolinemia Type II,SMPDB,0,,20 (20),1,1,5,C00327;C00077;C00148;C00020;C00025,52 (52),4.94E-05,0.00163,0.000539,0.00725
Prolidase Deficiency (PD),SMPDB,0,,20 (20),1,1,5,C00327;C00077;C00148;C00020;C00025,52 (52),4.94E-05,0.00163,0.000539,0.00725
Hyperprolinemia Type I,SMPDB,0,,20 (20),1,1,5,C00327;C00077;C00148;C00020;C00025,52 (52),4.94E-05,0.00163,0.000539,0.00725
Hyperprolinemia Type II,SMPDB,0,,20 (20),1,1,5,C00327;C00077;C00148;C00020;C00025,52 (52),4.94E-05,0.00163,0.000539,0.00725
Ornithine Aminotransferase Deficiency (OAT Deficiency),SMPDB,0,,20 (20),1,1,5,C00327;C00077;C00148;C00020;C00025,52 (52),4.94E-05,0.00163,0.000539,0.00725
Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),SMPDB,0,,20 (20),1,1,5,C00327;C00077;C00148;C00020;C00025,52 (52),4.94E-05,0.00163,0.000539,0.00725
Arginine and Proline Metabolism,SMPDB,0,,20 (20),1,1,5,C00327;C00077;C00148;C00020;C00025,52 (52),4.94E-05,0.00163,0.000539,0.00725
molybdenum cofactor biosynthesis,HumanCyc,0,,4 (4),1,1,3,C00020;C00041;C00097,10 (13),5.52E-05,0.00181,0.000596,0.00791
Metabolic disorders of biological oxidation enzymes,Reactome,1,ACSS2,584 (641),0.672,1,10,C00077;C00148;C00020;C00025;C00097;C00180;C00315;C00041;C00047;C00135,305 (382),9.00E-05,0.00285,0.000649,0.0085
Metabolism of water-soluble vitamins and cofactors,Wikipathways,0,,0 (0),1,1,5,C00020;C00041;C00047;C00097;C00025,83 (96),0.000462,0.00988,0.000462,0.00988
urate biosynthesis/inosine 5_-phosphate degradation,HumanCyc,0,,6 (6),1,1,3,C00385;C00130;C00366,11 (11),7.55E-05,0.00241,0.000792,0.0101
Glucose-Alanine Cycle,SMPDB,0,,8 (8),1,1,3,C00031;C00041;C00025,11 (11),7.55E-05,0.00241,0.000792,0.0101
Alanine_ aspartate and glutamate metabolism - Homo sapiens (human),KEGG,1,GLS,35 (35),0.0631,1,3,C00158;C00041;C00025,28 (28),0.00136,0.0214,0.000892,0.0113
Synthesis_ Secretion_ and Deacylation of Ghrelin,Wikipathways,0,,0 (0),1,1,2,C01571;C06423,5 (5),0.000621,0.0121,0.000621,0.0121
triacylglycerol degradation,HumanCyc,0,,15 (15),1,1,4,C01571;C00116;C06423;C01601,32 (56),0.000108,0.00334,0.00109,0.0134
Purine catabolism,Reactome,0,,11 (11),1,1,4,C00385;C00020;C00130;C00366,32 (32),0.000108,0.00334,0.00109,0.0134
COPII (Coat Protein 2) Mediated Vesicle Transport,Reactome,2,SEC24C;SEC13,9 (10),0.000117,0.228,0,,3 (3),1,1,0.00118,0.0142
ER to Golgi Transport,Reactome,2,SEC24C;SEC13,9 (10),0.000117,0.228,0,,3 (3),1,1,0.00118,0.0142
Gluconeogenesis,Reactome,0,,32 (33),1,1,4,C00158;C00020;C00197;C00025,33 (33),0.000122,0.00375,0.00122,0.0145
adenosine nucleotides degradation,HumanCyc,0,,9 (9),1,1,3,C00385;C00020;C00366,13 (13),0.000129,0.00395,0.00129,0.0151
SREBP signalling,Wikipathways,2,SEC24C;SEC13,60 (60),0.00543,1,1,C00031,3 (5),0.024,0.219,0.0013,0.0151
Hypoacetylaspartia,SMPDB,0,,14 (14),1,1,4,C00020;C00327;C00130;C00025,34 (34),0.000137,0.00408,0.00136,0.0153
Canavan Disease,SMPDB,0,,14 (14),1,1,4,C00020;C00327;C00130;C00025,34 (34),0.000137,0.00408,0.00136,0.0153
Aspartate Metabolism,SMPDB,0,,14 (14),1,1,4,C00020;C00327;C00130;C00025,34 (34),0.000137,0.00408,0.00136,0.0153
[2Fe-2S] iron-sulfur cluster biosynthesis,HumanCyc,0,,0 (0),1,1,2,C00041;C00097,6 (6),0.000927,0.0155,0.000927,0.0155
Purine metabolism,Reactome,0,,34 (36),1,1,5,C00385;C00020;C00130;C00366;C00025,66 (67),0.000157,0.00459,0.00153,0.017
Trans-sulfuration pathway,Wikipathways,0,,10 (10),1,1,3,C00245;C00097;C00025,14 (14),0.000164,0.00476,0.00159,0.0175
GPCR downstream signaling,Wikipathways,0,,0 (0),1,1,5,C00077;C00020;C00116;C00047;C00025,101 (121),0.00114,0.0183,0.00114,0.0183
Post-translational protein modification,Reactome,3,EIF5A2;SEC24C;SEC13,281 (290),0.0144,1,4,C00020;C00025;C00170;C00315,113 (126),0.0122,0.129,0.00169,0.0184
glutamine degradation/glutamate biosynthesis,HumanCyc,1,GLS,3 (3),0.00556,1,1,C00025,4 (4),0.0319,0.26,0.00171,0.0184
Synthesis_ secretion_ and deacylation of Ghrelin,Reactome,0,,8 (9),1,1,2,C01571;C06423,3 (3),0.000188,0.00542,0.0018,0.0192
guanosine ribonucleotides <i>de novo</i> biosynthesis,HumanCyc,0,,13 (13),1,1,3,C00020;C00130;C00025,15 (15),0.000204,0.00577,0.00193,0.0201
Molybdenum cofactor biosynthesis,Reactome,0,,6 (6),1,1,3,C00020;C00041;C00097,15 (20),0.000204,0.00577,0.00193,0.0201
Glutathione metabolism - Homo sapiens (human),KEGG,0,,51 (51),1,1,4,C00077;C00025;C00097;C00315,38 (38),0.000213,0.006,0.00202,0.0201
Xanthine Dehydrogenase Deficiency (Xanthinuria),SMPDB,0,,37 (37),1,1,5,C00385;C00020;C00130;C00025;C00366,72 (72),0.000237,0.00601,0.00222,0.0201
Adenylosuccinate Lyase Deficiency,SMPDB,0,,37 (37),1,1,5,C00385;C00020;C00130;C00025;C00366,72 (72),0.000237,0.00601,0.00222,0.0201
AICA-Ribosiduria,SMPDB,0,,37 (37),1,1,5,C00385;C00020;C00130;C00025;C00366,72 (72),0.000237,0.00601,0.00222,0.0201
Adenine phosphoribosyltransferase deficiency (APRT),SMPDB,0,,37 (37),1,1,5,C00385;C00020;C00130;C00025;C00366,72 (72),0.000237,0.00601,0.00222,0.0201
Purine Metabolism,SMPDB,0,,37 (37),1,1,5,C00385;C00020;C00130;C00025;C00366,72 (72),0.000237,0.00601,0.00222,0.0201
Molybdenum Cofactor Deficiency,SMPDB,0,,37 (37),1,1,5,C00385;C00020;C00130;C00025;C00366,72 (72),0.000237,0.00601,0.00222,0.0201
Adenosine Deaminase Deficiency,SMPDB,0,,37 (37),1,1,5,C00385;C00020;C00130;C00025;C00366,72 (72),0.000237,0.00601,0.00222,0.0201
Gout or Kelley-Seegmiller Syndrome,SMPDB,0,,37 (37),1,1,5,C00385;C00020;C00130;C00025;C00366,72 (72),0.000237,0.00601,0.00222,0.0201
Lesch-Nyhan Syndrome (LNS),SMPDB,0,,37 (37),1,1,5,C00385;C00020;C00130;C00025;C00366,72 (72),0.000237,0.00601,0.00222,0.0201
Xanthinuria type I,SMPDB,0,,37 (37),1,1,5,C00385;C00020;C00130;C00025;C00366,72 (72),0.000237,0.00601,0.00222,0.0201
Xanthinuria type II,SMPDB,0,,37 (37),1,1,5,C00385;C00020;C00130;C00025;C00366,72 (72),0.000237,0.00601,0.00222,0.0201
Purine Nucleoside Phosphorylase Deficiency,SMPDB,0,,37 (37),1,1,5,C00385;C00020;C00130;C00025;C00366,72 (72),0.000237,0.00601,0.00222,0.0201
