"","ID","description","type","healthy.mean.....std.dev","sick.mean.....std.dev","mean.sick_mean.healthy","group_p.values","group_adjusted.p.values","group_q.values"
"82","C00180","benzoic acid","metabolite","12200 +/- 3100","10000 +/- 4400",0.83,0.0468593104881019,0.148759715835244,0.0694773959805803
"83","C08281","behenic acid","metabolite","990 +/- 460","821 +/- 430",0.83,0.168264576786352,0.339928437952225,0.159839930977894
"84","C00152","asparagine","metabolite","6100 +/- 1800","7320 +/- 3300",1.2,0.096381547589217,0.235076945339554,0.110881902747376
"85","C06425","arachidic acid","metabolite","3880 +/- 2400","3350 +/- 2200",0.87,0.401890778765773,0.562085005266816,0.268423912079844
"86","C00026","alpha ketoglutaric acid","metabolite","114 +/- 68","109 +/- 81",0.95,0.782516107944086,0.836915623469611,0.416708630314735
"87","C00041","alanine","metabolite","213000 +/- 59000","258000 +/- 86000",1.21,0.0296848111802146,0.119912537411498,0.0549254772257551
"88","C06104","adipic acid","metabolite","926 +/- 680","591 +/- 370",0.64,0.029795109415341,0.119912537411498,0.0550036789067433
"89","C00020","adenosine-5-phosphate","metabolite","1300 +/- 1500","3020 +/- 2800",2.32,0.00683740192348928,0.0546992153879142,0.0253505504669233
"90","C00212","adenosine","metabolite","2690 +/- 3600","2650 +/- 2100",0.98,0.954861765806219,0.973547556674085,0.465741880978428
"91","C05659","5-methoxytryptamine","metabolite","204 +/- 120","164 +/- 100",0.8,0.195677615445374,0.383681598912498,0.175504023097903
"92","C00170","5'-deoxy-5'-methylthioadenosine","metabolite","216 +/- 83","355 +/- 160",1.64,0.000200405517131727,0.0080162206852691,0.00382574943883209
"93","C00431","5-aminovaleric acid","metabolite","451 +/- 140","497 +/- 200",1.1,0.32482727779475,0.495919508083587,0.236601251638133
"94","C00989","4-hydroxybutyric acid","metabolite","209 +/- 42","282 +/- 110",1.35,0.00295696432069891,0.0347878155376343,0.0151620939094918
"95","C00197","3-phosphoglycerate","metabolite","1030 +/- 660","510 +/- 490",0.49,0.0018655188471591,0.024873584628788,0.0118709434497229
"96","C05145","3-aminoisobutyric acid","metabolite","1770 +/- 540","1600 +/- 830",0.9,0.35445072268183,0.529030929375865,0.248032559609213
"97","C02112","2-monoolein","metabolite","326 +/- 170","341 +/- 190",1.04,0.776081010597322,0.834495710319702,0.414702908509561
"98","C00233","2-ketoisocaproic acid","metabolite","487 +/- 270","358 +/- 240",0.74,0.071356058130456,0.195496049672482,0.0910515660134888
"99","C00956","2-aminoadipic acid","metabolite","200 +/- 130","207 +/- 220",1.03,0.893520660904468,0.916431447081505,0.449264059145774
"100","C07326","1,5-anhydroglucitol","metabolite","7390 +/- 4300","5940 +/- 3600",0.8,0.185357340547488,0.370714681094977,0.169816580435001
"101","SPTAN1","spectrin, alpha, non-erythrocytic 1","protein","5.29e+09 +/- 3.4e+09","3.77e+09 +/- 2.2e+09",0.71,0.0586164101090191,0.169178754049596,0.0799597140126616
"102","CFH","complement factor H","protein","1.85e+08 +/- 2e+08","2.08e+08 +/- 2.6e+08",1.12,0.715899490472791,0.803136066730948,0.395255344181119
"103","VPS13C","vacuolar protein sorting 13 homolog C (S. cerevisiae)","protein","17800000 +/- 1.7e+07","24500000 +/- 2.5e+07",1.37,0.252402218773571,0.438960380475775,0.204277371609485
"104","XRCC6","X-ray repair complementing defective repair in Chinese hamster cells 6","protein","2.51e+08 +/- 3.4e+08","7.33e+08 +/- 9.1e+08",2.92,0.0130794769787721,0.0810371067971812,0.0371951322316488
"105","APOA1","apolipoprotein A-I","protein","4.58e+09 +/- 4.5e+09","4.01e+09 +/- 4e+09",0.87,0.616485245952436,0.729045221914476,0.360134665799367
"106","SUPT16H","suppressor of Ty 16 homolog (S. cerevisiae)","protein","11800000 +/- 3.6e+07","2.4e+07 +/- 4.5e+07",2.04,0.277201453442009,0.458494327452479,0.216124608658543
"107","ACTBL2","actin, beta-like 2","protein","6.72e+09 +/- 5.7e+09","7.99e+09 +/- 6.7e+09",1.19,0.454902619414127,0.613690977390211,0.293440873249496
"108","HPR","haptoglobin-related protein","protein","1.84e+09 +/- 2.2e+09","1.81e+09 +/- 2.3e+09",0.98,0.958944343323973,0.973547556674085,0.466803641085138
"109","APOE","apolipoprotein E","protein","5.29e+08 +/- 4.3e+08","4.25e+08 +/- 3.2e+08",0.8,0.315379656348093,0.495919508083587,0.232756239848219
"110","MAOB","monoamine oxidase B","protein","2.44e+08 +/- 1.5e+08","2.57e+08 +/- 2e+08",1.05,0.7984770882671,0.849443710922447,0.421624593129142
"111","DMD","dystrophin","protein","5030000 +/- 6800000","6690000 +/- 1.1e+07",1.33,0.501339399716578,0.643647776650811,0.313990061771896
"112","EEF1D","eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)","protein","2.12e+08 +/- 2.6e+08","5.18e+08 +/- 5.7e+08",2.45,0.0137763081555208,0.0810371067971812,0.0381836082789274
"113","GLS","glutaminase","protein","13900000 +/- 3.1e+07","83700000 +/- 1.5e+08",6.04,0.0255208160350274,0.113425849044566,0.0516866006445412
"114","NAPSA","napsin A aspartic peptidase","protein","3.33e+08 +/- 3.2e+08","1.37e+09 +/- 2.2e+09",4.11,0.0200583572485543,0.0987772806835311,0.0463772386731902
"115","EIF3L","eukaryotic translation initiation factor 3, subunit L","protein","23500000 +/- 2.7e+07","58400000 +/- 1e+08",2.49,0.0843549281697272,0.216294687614685,0.101790075381712
"116","LTBP4","latent transforming growth factor beta binding protein 4","protein","4540000 +/- 7100000","10200000 +/- 1.9e+07",2.24,0.158695968958725,0.330616601997343,0.153927039640461
"117","CNP","2',3'-cyclic nucleotide 3' phosphodiesterase","protein","35700000 +/- 6.4e+07","49700000 +/- 6.3e+07",1.39,0.423472170536489,0.584099545567571,0.278819205711635
"118","ANXA7","annexin A7","protein","81800000 +/- 7.5e+07","1.54e+08 +/- 1.7e+08",1.88,0.0434724943620194,0.140233852780708,0.0661110685594147
"119","ADH5","alcohol dehydrogenase 5 (class III), chi polypeptide","protein","1.18e+08 +/- 1.1e+08","2.33e+08 +/- 2.2e+08",1.98,0.0184761354568517,0.0947494125992395,0.0445464424868661
"120","GNA11","guanine nucleotide binding protein (G protein), alpha 11 (Gq class)","protein","66400000 +/- 6.7e+07","61500000 +/- 8.3e+07",0.93,0.813525418806749,0.860873459054761,0.426184167722323
"121","DDX21","DEAD (Asp-Glu-Ala-Asp) box helicase 21","protein","6410000 +/- 2e+07","19700000 +/- 5.3e+07",3.07,0.228400677979968,0.404248987575164,0.192055584005662
"122","TAP2","transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)","protein","19500000 +/- 2.5e+07","38200000 +/- 6.5e+07",1.96,0.167519784098847,0.339928437952225,0.159388461599096
"123","SLFN5","schlafen family member 5","protein","10100000 +/- 1.4e+07","2.1e+07 +/- 2.3e+07",2.07,0.0429044717342592,0.140233852780708,0.0655294786176391
"124","HTRA1","HtrA serine peptidase 1","protein","1.29e+08 +/- 1.1e+08","1.35e+08 +/- 1.3e+08",1.05,0.856207828723303,0.883370899047943,0.438734167620614
"125","ANKFY1","ankyrin repeat and FYVE domain containing 1","protein","9590000 +/- 1e+07","11600000 +/- 1.5e+07",1.21,0.566022044749419,0.694505576379655,0.340698937782297
"126","HNRNPF","heterogeneous nuclear ribonucleoprotein F","protein","1.59e+08 +/- 2.4e+08","4.12e+08 +/- 4.2e+08",2.59,0.00853303001599452,0.0632076297481076,0.0292256876657171
"127","PC","pyruvate carboxylase","protein","1170000 +/- 4700000","8050000 +/- 2e+07",6.88,0.0909259330204405,0.22450847659368,0.106845812702126
"128","SEC24C","SEC24 family member C","protein","14500000 +/- 2.2e+07","38500000 +/- 4.8e+07",2.66,0.0223397627775472,0.103905873383941,0.0487673830313929
"129","IVD","isovaleryl-CoA dehydrogenase","protein","1.1e+07 +/- 1.4e+07","58900000 +/- 7.1e+07",5.34,0.00116982603529325,0.023396520705865,0.0103179316536522
"130","ENTPD1","ectonucleoside triphosphate diphosphohydrolase 1","protein","50800000 +/- 5.3e+07","40100000 +/- 6.5e+07",0.79,0.506399141816642,0.643647776650811,0.316157111023143
"131","ACSS2","acyl-CoA synthetase short-chain family member 2","protein","698000 +/- 2e+06","12700000 +/- 2.8e+07",18.25,0.0318359195600991,0.120715763058434,0.0563887944164092
"132","API5","apoptosis inhibitor 5","protein","16700000 +/- 3.2e+07","39900000 +/- 4.2e+07",2.39,0.0254517405839864,0.113425849044566,0.0516276981564353
"133","RPL9","ribosomal protein L9","protein","96200000 +/- 1e+08","1.88e+08 +/- 1.8e+08",1.96,0.0273166078277111,0.116240884373239,0.0531556044202828
"134","GLOD4","glyoxalase domain containing 4","protein","24500000 +/- 4.5e+07","1.24e+08 +/- 1.4e+08",5.06,0.00129696068640331,0.0235811033891511,0.0106853821389526
"135","ABHD10","abhydrolase domain containing 10","protein","2530000 +/- 6700000","20100000 +/- 4.2e+07",7.93,0.0351529101300627,0.124104000835143,0.0584152922366447
"136","F11R","F11 receptor","protein","48500000 +/- 6.5e+07","3.2e+07 +/- 2.9e+07",0.66,0.230645819902185,0.404641789302078,0.193115703662602
"137","STXBP1","syntaxin binding protein 1","protein","4300000 +/- 6900000","3570000 +/- 1e+07",0.83,0.759900165465411,0.831117224108447,0.409598105735211
"138","FER1L6","fer-1-like family member 6","protein","0 +/- 0","47200 +/- 250000",Inf,0.321941348172835,0.495919508083587,0.235437415083026
"139","SCYL1","SCY1-like 1 (S. cerevisiae)","protein","749000 +/- 2700000","3240000 +/- 7200000",4.32,0.0996681227865923,0.239214017878015,0.113232652513425
"140","GBP2","guanylate binding protein 2, interferon-inducible","protein","7090000 +/- 1.2e+07","53900000 +/- 1.6e+08",7.6,0.131333557323075,0.285507733311033,0.13586363143613
"141","PSMD7","proteasome (prosome, macropain) 26S subunit, non-ATPase, 7","protein","67400000 +/- 1.6e+08","96200000 +/- 1.7e+08",1.43,0.521637686952684,0.64399714438603,0.322601734946892
"142","GMDS","GDP-mannose 4,6-dehydratase","protein","89100 +/- 460000","5580000 +/- 1.5e+07",62.63,0.0592125639173586,0.169178754049596,0.0804467515819778
"143","SIAE","sialic acid acetylesterase","protein","67800 +/- 350000","6710000 +/- 1.9e+07",98.86,0.0827911528953708,0.215041955572392,0.100560375510433
"144","TXNL1","thioredoxin-like 1","protein","12400000 +/- 2.2e+07","46100000 +/- 5.4e+07",3.73,0.00380982884819193,0.0361722723945709,0.0169613598162995
"145","EPS8","epidermal growth factor receptor pathway substrate 8","protein","411000 +/- 1300000","6240000 +/- 1.1e+07",15.2,0.0110649381689454,0.0737662544596362,0.0340247204561482
"146","U2SURP","U2 snRNP-associated SURP domain containing","protein","2420000 +/- 4700000","4410000 +/- 8100000",1.83,0.275552916683402,0.458494327452479,0.215364074736382
"147","AGO2","argonaute RISC catalytic component 2","protein","2490000 +/- 6700000","4990000 +/- 7900000",2.01,0.213894769544741,0.40320029163737,0.184980842044265
"148","DTX3L","deltex 3 like, E3 ubiquitin ligase","protein","4520000 +/- 4900000","7510000 +/- 1.7e+07",1.66,0.379738830717982,0.542484043882832,0.258361323092
"149","EVL","Enah/Vasp-like","protein","6110000 +/- 8600000","21900000 +/- 3.7e+07",3.59,0.0349413798824399,0.124104000835143,0.0582935673014051
"150","SEC13","SEC13 homolog (S. cerevisiae)","protein","20100000 +/- 3.4e+07","65200000 +/- 7e+07",3.24,0.0039789499634028,0.0361722723945709,0.0172632536263772
"151","TPPP3","tubulin polymerization-promoting protein family member 3","protein","7290000 +/- 1.4e+07","41500000 +/- 1.1e+08",5.69,0.104161112556844,0.245084970721987,0.116353003680353
"152","TUBB1","tubulin, beta 1 class VI","protein","2.23e+08 +/- 2.3e+08","3.67e+08 +/- 4.5e+08",1.65,0.142154797337148,0.30099559436685,0.14311779504771
"153","PDLIM7","PDZ and LIM domain 7 (enigma)","protein","74800000 +/- 6.1e+07","1.24e+08 +/- 2.5e+08",1.66,0.322412476757539,0.495919508083587,0.235628047305912
"154","AGO1","argonaute RISC catalytic component 1","protein","4770000 +/- 1.6e+07","4880000 +/- 7500000",1.02,0.976205125939598,0.986065783777372,0.47124641934114
"155","UBQLN4","ubiquilin 4","protein","3640000 +/- 1.4e+07","6290000 +/- 1.1e+07",1.73,0.443755508306818,0.603748990893631,0.288323499649177
"156","ITGA11","integrin, alpha 11","protein","1210000 +/- 5800000","2520000 +/- 8800000",2.09,0.518136460203903,0.643647776650811,0.321131781932626
"157","SERPINA7","serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7","protein","5810000 +/- 8400000","5230000 +/- 1.1e+07",0.9,0.832650934410059,0.871885795193779,0.431876394209847
"158","CDK5RAP3","CDK5 regulatory subunit associated protein 3","protein","630000 +/- 2300000","1780000 +/- 3e+06",2.83,0.117414150306826,0.263852023161407,0.125923645215935
"159","PTGR2","prostaglandin reductase 2","protein","244000 +/- 840000","1970000 +/- 4600000",8.09,0.0584244912949333,0.169178754049596,0.0798020813087872
"160","EIF5A2","eukaryotic translation initiation factor 5A2","protein","54300000 +/- 7.6e+07","1.47e+08 +/- 1.9e+08",2.71,0.0202493425401239,0.0987772806835311,0.0465881184407656
"161","PSMD9","proteasome (prosome, macropain) 26S subunit, non-ATPase, 9","protein","5810000 +/- 1.4e+07","53100000 +/- 8.5e+07",9.15,0.00626073521190854,0.0521727934325711,0.0238827121997089
"162","ZW10","zw10 kinetochore protein","protein","1340000 +/- 2100000","8930000 +/- 3e+07",6.68,0.198806126705078,0.386031313990442,0.177181208532096
"163","KDM1A","lysine (K)-specific demethylase 1A","protein","204000 +/- 820000","489000 +/- 1400000",2.4,0.368802231815649,0.530650693259926,0.253253580666222
"164","REXO2","RNA exonuclease 2","protein","1140000 +/- 2400000","6780000 +/- 9400000",5.95,0.00392053842648044,0.0361722723945709,0.0171607380039347
"165","ERMP1","endoplasmic reticulum metallopeptidase 1","protein","1730000 +/- 4100000","2670000 +/- 6300000",1.54,0.517582740222708,0.643647776650811,0.320898724006608
"166","TMEM214","transmembrane protein 214","protein","2540000 +/- 5500000","7630000 +/- 2.1e+07",3.01,0.224018049584567,0.40320029163737,0.189959771820575
"167","PGK2","phosphoglycerate kinase 2","protein","2.17e+08 +/- 3.7e+08","6.67e+08 +/- 8.7e+08",3.08,0.0169915871846209,0.0894294062348471,0.0426802746769151
"168","SEC63","SEC63 homolog (S. cerevisiae)","protein","1220000 +/- 2900000","3e+06 +/- 3900000",2.47,0.0615434310577959,0.173361777627594,0.0823138220429128
"169","COG4","component of oligomeric golgi complex 4","protein","182000 +/- 870000","545000 +/- 2e+06",3,0.390745104820936,0.554248375632533,0.263407465561433
"170","BPHL","biphenyl hydrolase-like (serine hydrolase)","protein","956000 +/- 3500000","1680000 +/- 3600000",1.76,0.457199778155707,0.613690977390211,0.294486312064147
"171","MYZAP","myocardial zonula adherens protein","protein","1170000 +/- 2200000","404000 +/- 1100000",0.34,0.109209836856161,0.25105709622106,0.11981725337821
"172","SCAF4","SR-related CTD-associated factor 4","protein","6450000 +/- 1.7e+07","11600000 +/- 1.7e+07",1.79,0.283915703124914,0.465435578893302,0.219184240026175
"173","PARP10","poly (ADP-ribose) polymerase family, member 10","protein","0 +/- 0","913000 +/- 4300000",Inf,0.27738906810875,0.458494327452479,0.216210927736388
"174","PPIL1","peptidylprolyl isomerase (cyclophilin)-like 1","protein","2710000 +/- 1e+07","4740000 +/- 8e+06",1.75,0.426736678632089,0.584570792646698,0.280365981074687
"175","CPSF3","cleavage and polyadenylation specific factor 3, 73kDa","protein","1050000 +/- 3400000","3630000 +/- 6700000",3.45,0.081050035926648,0.213289568228021,0.0991720420151246
"176","DHX38","DEAH (Asp-Glu-Ala-His) box polypeptide 38","protein","1130000 +/- 2200000","2280000 +/- 5100000",2.02,0.288725813352769,0.469472867240275,0.221339457787999
"177","FYN","FYN proto-oncogene, Src family tyrosine kinase","protein","31400000 +/- 6.7e+07","7880000 +/- 9700000",0.25,0.0768210588613783,0.204856156963675,0.0957130535770883
"178","AP3B2","adaptor-related protein complex 3, beta 2 subunit","protein","206000 +/- 650000","1450000 +/- 5200000",7.03,0.221232390852693,0.40320029163737,0.188609161250918
"179","MRTO4","mRNA turnover 4 homolog (S. cerevisiae)","protein","425000 +/- 1600000","6200000 +/- 2e+07",14.61,0.142972907324254,0.30099559436685,0.143650452183286
"180","DUT","deoxyuridine triphosphatase","protein","1860000 +/- 5100000","8170000 +/- 1.6e+07",4.4,0.0560335429212322,0.169178754049596,0.0778031581468442
"181","PDCD6","programmed cell death 6","protein","18700000 +/- 2.1e+07","49100000 +/- 6.8e+07",2.63,0.0299781343528746,0.119912537411498,0.0551326589686327
"182","LHPP","phospholysine phosphohistidine inorganic pyrophosphate phosphatase","protein","8140000 +/- 1.1e+07","38200000 +/- 5.2e+07",4.7,0.00464695818720693,0.0404083320626689,0.0192849173921797
"183","ARMCX3","armadillo repeat containing, X-linked 3","protein","20200 +/- 110000","2830000 +/- 8900000",139.8,0.105890385832605,0.246256711238617,0.117526264784731
