"","source","target","value","type"
"2381",1,39,0.709677419354839,"Tanimoto"
"2398",19,39,0.806451612903226,"Tanimoto"
"2399",20,39,0.9,"Tanimoto"
"2400",21,39,0.9,"Tanimoto"
"2413",37,39,0.75,"Tanimoto"
"2451",1,40,0.709677419354839,"Tanimoto"
"2468",19,40,0.806451612903226,"Tanimoto"
"2469",20,40,0.9,"Tanimoto"
"2470",21,40,0.9,"Tanimoto"
"2483",37,40,0.75,"Tanimoto"
"2485",39,40,1,"Tanimoto"
"2551",35,42,0.716666666666667,"Tanimoto"
"2553",37,42,0.826086956521739,"Tanimoto"
"2689",32,45,0.776859504132231,"Tanimoto"
"2731",1,46,0.709677419354839,"Tanimoto"
"2749",20,46,0.727272727272727,"Tanimoto"
"2750",21,46,0.727272727272727,"Tanimoto"
"2821",22,47,0.774193548387097,"Tanimoto"
"2834",38,47,0.811320754716981,"Tanimoto"
"2968",30,50,0.732142857142857,"Tanimoto"
"3013",3,51,0.717391304347826,"Tanimoto"
"3014",5,51,0.755102040816326,"Tanimoto"
"3044",38,51,0.895833333333333,"Tanimoto"
"3051",47,51,0.9,"Tanimoto"
"3102",25,52,0.7,"Tanimoto"
"3105",28,52,0.7,"Tanimoto"
"3106",29,52,0.74468085106383,"Tanimoto"
"3107",29,52,0.74468085106383,"Tanimoto"
"3156",7,53,0.724770642201835,"Tanimoto"
"3179",32,53,0.858490566037736,"Tanimoto"
"3189",45,53,0.75,"Tanimoto"
"3248",30,56,0.834862385321101,"Tanimoto"
"3249",32,56,0.845454545454545,"Tanimoto"
"3266",53,56,0.752066115702479,"Tanimoto"
"3323",37,57,0.8,"Tanimoto"
"3325",39,57,0.731707317073171,"Tanimoto"
"3326",40,57,0.731707317073171,"Tanimoto"
"3327",42,57,0.931818181818182,"Tanimoto"
"3393",37,58,0.883720930232558,"Tanimoto"
"3395",39,58,0.731707317073171,"Tanimoto"
"3396",40,58,0.731707317073171,"Tanimoto"
"3397",42,58,0.847826086956522,"Tanimoto"
"3408",57,58,0.906976744186046,"Tanimoto"
"3461",35,59,0.728813559322034,"Tanimoto"
"3463",37,59,0.844444444444444,"Tanimoto"
"3467",42,59,0.977272727272727,"Tanimoto"
"3478",57,59,0.953488372093023,"Tanimoto"
"3479",58,59,0.866666666666667,"Tanimoto"
"3531",35,60,0.728813559322034,"Tanimoto"
"3533",37,60,0.844444444444444,"Tanimoto"
"3537",42,60,0.977272727272727,"Tanimoto"
"3548",57,60,0.953488372093023,"Tanimoto"
"3549",58,60,0.866666666666667,"Tanimoto"
"3550",59,60,1,"Tanimoto"
"3692",61,61,1,"Tanimoto"
"3728",19,62,0.735294117647059,"Tanimoto"
"3729",20,62,0.818181818181818,"Tanimoto"
"3730",21,62,0.818181818181818,"Tanimoto"
"3745",39,62,0.909090909090909,"Tanimoto"
"3746",40,62,0.909090909090909,"Tanimoto"
"3747",42,62,0.75,"Tanimoto"
"3758",57,62,0.804878048780488,"Tanimoto"
"3759",58,62,0.804878048780488,"Tanimoto"
"3760",59,62,0.767441860465116,"Tanimoto"
"3761",60,62,0.767441860465116,"Tanimoto"
"3798",19,64,0.735294117647059,"Tanimoto"
"3799",20,64,0.818181818181818,"Tanimoto"
"3800",21,64,0.818181818181818,"Tanimoto"
"3815",39,64,0.909090909090909,"Tanimoto"
"3816",40,64,0.909090909090909,"Tanimoto"
"3817",42,64,0.75,"Tanimoto"
"3828",57,64,0.804878048780488,"Tanimoto"
"3829",58,64,0.804878048780488,"Tanimoto"
"3830",59,64,0.767441860465116,"Tanimoto"
"3831",60,64,0.767441860465116,"Tanimoto"
"3834",62,64,1,"Tanimoto"
"3868",19,66,0.735294117647059,"Tanimoto"
"3869",20,66,0.818181818181818,"Tanimoto"
"3870",21,66,0.818181818181818,"Tanimoto"
"3885",39,66,0.909090909090909,"Tanimoto"
"3886",40,66,0.909090909090909,"Tanimoto"
"3887",42,66,0.75,"Tanimoto"
"3898",57,66,0.804878048780488,"Tanimoto"
"3899",58,66,0.804878048780488,"Tanimoto"
"3900",59,66,0.767441860465116,"Tanimoto"
"3901",60,66,0.767441860465116,"Tanimoto"
"3904",62,66,1,"Tanimoto"
"3905",64,66,1,"Tanimoto"
"3934",15,68,0.755102040816326,"Tanimoto"
"3935",16,68,0.755102040816326,"Tanimoto"
"3942",25,68,0.795918367346939,"Tanimoto"
"3945",28,68,0.795918367346939,"Tanimoto"
"3951",35,68,0.830508474576271,"Tanimoto"
"3952",36,68,0.784313725490196,"Tanimoto"
"3965",52,68,0.727272727272727,"Tanimoto"
"4004",15,69,0.755102040816326,"Tanimoto"
"4005",16,69,0.755102040816326,"Tanimoto"
"4012",25,69,0.795918367346939,"Tanimoto"
"4015",28,69,0.795918367346939,"Tanimoto"
"4021",35,69,0.830508474576271,"Tanimoto"
"4022",36,69,0.784313725490196,"Tanimoto"
"4035",52,69,0.727272727272727,"Tanimoto"
"4047",68,69,1,"Tanimoto"
"4103",50,71,0.723076923076923,"Tanimoto"
"4402",77,78,0.844919786096257,"Tanimoto"
"4453",50,80,0.792307692307692,"Tanimoto"
"4457",56,80,0.77037037037037,"Tanimoto"
"4483",3,82,0.75,"Tanimoto"
"4484",5,82,0.714285714285714,"Tanimoto"
"4497",18,82,0.702127659574468,"Tanimoto"
"4503",26,82,0.863636363636364,"Tanimoto"
"4653",37,85,1,"Tanimoto"
"4655",39,85,0.75,"Tanimoto"
"4656",40,85,0.75,"Tanimoto"
"4657",42,85,0.826086956521739,"Tanimoto"
"4668",57,85,0.8,"Tanimoto"
"4669",58,85,0.883720930232558,"Tanimoto"
"4670",59,85,0.844444444444444,"Tanimoto"
"4671",60,85,0.844444444444444,"Tanimoto"
"4793",37,90,0.8,"Tanimoto"
"4797",42,90,0.843137254901961,"Tanimoto"
"4808",57,90,0.82,"Tanimoto"
"4809",58,90,0.82,"Tanimoto"
"4810",59,90,0.86,"Tanimoto"
"4811",60,90,0.86,"Tanimoto"
"4827",85,90,0.8,"Tanimoto"
"4863",37,92,0.730769230769231,"Tanimoto"
"4867",42,92,0.843137254901961,"Tanimoto"
"4878",57,92,0.82,"Tanimoto"
"4879",58,92,0.75,"Tanimoto"
"4880",59,92,0.86,"Tanimoto"
"4881",60,92,0.86,"Tanimoto"
"4897",85,92,0.730769230769231,"Tanimoto"
"4899",90,92,0.923076923076923,"Tanimoto"
"4831",1,92,0.431372549019608,"Tanimoto weak"
"4832",2,92,0.321428571428571,"Tanimoto weak"
"4840",11,92,0.333333333333333,"Tanimoto weak"
"4842",13,92,0.327586206896552,"Tanimoto weak"
"4843",14,92,0.406779661016949,"Tanimoto weak"
"4844",15,92,0.474576271186441,"Tanimoto weak"
"4845",16,92,0.474576271186441,"Tanimoto weak"
"4848",19,92,0.490196078431373,"Tanimoto weak"
"4849",20,92,0.54,"Tanimoto weak"
"4850",21,92,0.54,"Tanimoto weak"
"4852",25,92,0.459016393442623,"Tanimoto weak"
"4855",28,92,0.459016393442623,"Tanimoto weak"
"4857",29,92,0.34375,"Tanimoto weak"
"4861",35,92,0.651515151515151,"Tanimoto weak"
"4862",36,92,0.46031746031746,"Tanimoto weak"
"4865",39,92,0.6,"Tanimoto weak"
"4866",40,92,0.6,"Tanimoto weak"
"4870",46,92,0.428571428571429,"Tanimoto weak"
"4875",52,92,0.391304347826087,"Tanimoto weak"
"4884",62,92,0.66,"Tanimoto weak"
"4885",64,92,0.66,"Tanimoto weak"
"4886",66,92,0.66,"Tanimoto weak"
"4887",68,92,0.523076923076923,"Tanimoto weak"
"4888",69,92,0.523076923076923,"Tanimoto weak"
"4890",72,92,0.530120481927711,"Tanimoto weak"
"4896",84,92,0.333333333333333,"Tanimoto weak"
"4898",87,92,0.310126582278481,"Tanimoto weak"
"4828",87,90,0.30188679245283,"Tanimoto weak"
