"","name","t.test_p.value","t.test_adjusted.p.value","t.test_q.value","FC.A.C"
"X29","Oxoglutaric acid",0.463394223837754,0.666129196766771,0.309679770962398,1.7
"X30","L-Phenylalanine",0.093398637603731,0.619253978472208,0.28788774182491,2.2
"X31","",0.254758495997756,0.619253978472208,0.28788774182491,2.4
"X32","p-Hydroxyphenylacetic acid",0.102648972831718,0.619253978472208,0.28788774182491,2.1
"X33","",0.103344825685762,0.619253978472208,0.28788774182491,1.7
"X34","Taurine",0.165062457353588,0.619253978472208,0.28788774182491,3.9
"X35","Pectin",0.294850444096769,0.619253978472208,0.28788774182491,2.2
"X36","Arabinose",0.329256577171709,0.619253978472208,0.28788774182491,0
"X37","D-Ribose",0.158874692105942,0.619253978472208,0.28788774182491,5.7
"X38","L-Lysine",0.251540076711914,0.619253978472208,0.28788774182491,7.5
"X39","D-Xylitol",0.429398587022026,0.637172096871394,0.296217775741559,1.3
"X40","D-Arabitol",0.157959973710896,0.619253978472208,0.28788774182491,1.8
"X41","Ribitol",0.604761035100845,0.793505619284379,0.368896363693543,1.2
"X42","L-Fucose",0.670189357605648,0.825695968188865,0.383861478455554,1.4
"X43","cis-Aconitic acid",0.110228853838941,0.619253978472208,0.28788774182491,1.4
"X44","D-Ribose",0.941147698007397,0.96206209129645,0.447257333157555,0.9
"X45","Homovanillic acid",0.0210598598317868,0.619253978472208,0.28788774182491,3.8
"X46","Glycerol 3-phosphate",0.862835879992945,0.912424148958056,0.42418092892695,0.9
"X47","L-Glutamine",0.327213751112235,0.619253978472208,0.28788774182491,3
"X48","",0.907768597469626,0.949030806445518,0.441199161067862,0.9
"X49","Hypoxanthine",0.151292577387652,0.619253978472208,0.28788774182491,2.7
"X50","Hippuric acid",0.334740288033347,0.619253978472208,0.28788774182491,1.5
"X51","Ornithine",0.329256577171709,0.619253978472208,0.28788774182491,0
"X52","Citric acid",0.386365212751301,0.619253978472208,0.28788774182491,1.2
"X53","3-(3-Hydroxyphenyl)-3-hydroxypropanoic acid",0.168655111865478,0.619253978472208,0.28788774182491,2.2
"X54","",0.293404566764687,0.619253978472208,0.28788774182491,0.7
"X55","Quinic acid",0.37146956942578,0.619253978472208,0.28788774182491,0.1
"X56","L-Tyrosine",0.130286001429568,0.619253978472208,0.28788774182491,1.6
"X57","L-Sorbose",0.728005123544874,0.84824624795081,0.394344978511868,1.2
"X58","D-Fructose",0.40687608994573,0.619253978472208,0.28788774182491,0.3
"X59","D-Galactose",0.23954691170069,0.619253978472208,0.28788774182491,10.8
"X60","D-Glucose",0.527272928664007,0.724016558762518,0.33659128466195,1.4
"X61","L-Histidine",0.231586291516813,0.619253978472208,0.28788774182491,2.6
"X62","Mannitol",0.410592311813094,0.619253978472208,0.28788774182491,1.6
"X63","",0.132368316110587,0.619253978472208,0.28788774182491,2.2
"X64","Sorbitol",0.704670638158063,0.84824624795081,0.394344978511868,0.6
"X65","",0.826738024894663,0.884417421980337,0.411160756807241,1.4
"X66","Galactitol",0.362332614944998,0.619253978472208,0.28788774182491,0.5
"X67","",0.403383482031547,0.619253978472208,0.28788774182491,0.5
"X68","Gulonic acid",0.283817109684353,0.619253978472208,0.28788774182491,3.1
"X69","Gluconic acid",0.756449180307697,0.849001881328481,0.394696268280376,1.2
"X70","",0.47195325607601,0.667995377830661,0.310547348194029,1.2
"X71","Kynurenic acid",0.974993982358594,0.985708201944952,0.458250278918411,1
"X72","Beta-N-Acetylglucosamine",0.625895495671477,0.793505619284379,0.368896363693543,0.6
"X73","",0.775175630778178,0.849001881328481,0.394696268280376,0.9
"X74","Uric acid",0.723484270841933,0.84824624795081,0.394344978511868,0.9
"X75","",0.364447095492839,0.619253978472208,0.28788774182491,1.6
"X76","",0.617439420550046,0.793505619284379,0.368896363693543,0.8
"X77","L-Tryptophan",0.0463971338065384,0.619253978472208,0.28788774182491,3.5
"X78","5-Hydroxyindoleacetic acid",0.168074250813843,0.619253978472208,0.28788774182491,19
"X79","",0.373720389297531,0.619253978472208,0.28788774182491,0.6
"X80","4-Hydroxyhippuric acid",0.356128215300218,0.619253978472208,0.28788774182491,1.4
"X81","",0.329256577171709,0.619253978472208,0.28788774182491,0
"X82","L-Cystine",0.325981442466079,0.619253978472208,0.28788774182491,0
"X83","",0.391209618293358,0.619253978472208,0.28788774182491,0.6
"X84","Pseudouridine",0.673121713197445,0.825695968188865,0.383861478455554,1.1
"X85","Arabinofuranose",0.0979348834661696,0.619253978472208,0.28788774182491,1.4
"X86","",0.307117130523681,0.619253978472208,0.28788774182491,1.4
"X87","Acetaminophen glucuronide",0.629629458779996,0.793505619284379,0.368896363693543,0.8
"X88","Hydroxyproline dipeptide 4-TMS",0.269089443348433,0.619253978472208,0.28788774182491,4.1
"X89","Xylobiose",0.192736164387755,0.619253978472208,0.28788774182491,1.8
"X90","Sucrose",0.393758561766684,0.619253978472208,0.28788774182491,1.8
"X91","",0.181333607978092,0.619253978472208,0.28788774182491,50
"X92","Alpha-Lactose",0.511447992874468,0.712927505218956,0.331436045140505,1.5
